2025-11-06 16:38:19 | INFO | infermed.app | {"event": "maybe_load_context.begin", "pair": ["warfarin", "fluconazole"], "use_cache": true}
2025-11-06 16:38:37 | INFO | infermed.app | {"event": "maybe_load_context.get_context_cached", "pair": ["warfarin", "fluconazole"], "cached": true}
2025-11-06 16:40:12 | INFO | infermed.app | {"event": "explain_pair.done", "pair": ["warfarin", "fluconazole"], "answer_len": 2051}
2025-11-06 16:53:12 | INFO | infermed.app | {"event": "followup.done", "pair": ["warfarin", "fluconazole"], "q_len": 66, "answer_len": 2063}
2025-11-07 11:30:49 | INFO | infermed.app | {"event": "maybe_load_context.begin", "pair": ["warfarin", "fluconazole"], "use_cache": false}
2025-11-07 11:30:50 | INFO | infermed.app | {"event": "maybe_load_context.get_context_cached", "pair": ["warfarin", "fluconazole"], "cached": false, "force_refresh": true}
2025-11-07 11:32:53 | INFO | infermed.app | {"event": "explain_pair.done", "pair": ["warfarin", "fluconazole"], "answer_len": 2094}
2025-11-07 11:36:36 | INFO | infermed.app | {"event": "followup.done", "pair": ["warfarin", "fluconazole"], "q_len": 53, "answer_len": 1899}
2025-11-07 16:34:22 | INFO | infermed.app | {"event": "maybe_load_context.begin", "pair": ["warfarin", "fluconazole"], "use_cache": true}
2025-11-07 16:41:24 | INFO | infermed.app | {"event": "maybe_load_context.get_context_cached", "pair": ["warfarin", "fluconazole"], "cached": true}
2025-11-07 16:43:40 | INFO | infermed.app | {"event": "explain_pair.done", "pair": ["warfarin", "fluconazole"], "answer_len": 2323}
2025-11-07 16:50:01 | INFO | infermed.app | {"event": "followup.done", "pair": ["warfarin", "fluconazole"], "q_len": 46, "answer_len": 2454}
2025-11-07 18:07:17 | INFO | infermed.app | {"event": "maybe_load_context.begin", "pair": ["Dabigatran", "Verapamil"], "use_cache": true}
2025-11-07 18:14:35 | INFO | infermed.app | {"event": "maybe_load_context.get_context_cached", "pair": ["Dabigatran", "Verapamil"], "cached": true}
2025-11-07 18:16:59 | INFO | infermed.app | {"event": "explain_pair.done", "pair": ["Dabigatran", "Verapamil"], "answer_len": 2847}
2025-11-07 19:49:17 | INFO | infermed.app | {"event": "maybe_load_context.begin", "pair": ["Lisinopril", "Spironolactone"], "use_cache": true}
2025-11-07 19:56:38 | INFO | infermed.app | {"event": "maybe_load_context.get_context_cached", "pair": ["Lisinopril", "Spironolactone"], "cached": true}
2025-11-07 19:58:41 | INFO | infermed.app | {"event": "explain_pair.done", "pair": ["Lisinopril", "Spironolactone"], "answer_len": 1891}
2025-11-07 20:32:32 | INFO | infermed.app | {"event": "maybe_load_context.begin", "pair": ["Lisinopril", "Spironolactone"], "use_cache": true}
2025-11-07 20:39:34 | INFO | infermed.app | {"event": "maybe_load_context.get_context_cached", "pair": ["Lisinopril", "Spironolactone"], "cached": true}
2025-11-07 20:41:44 | INFO | infermed.app | {"event": "explain_pair.done", "pair": ["Lisinopril", "Spironolactone"], "answer_len": 2307}
2025-11-10 23:58:55 | INFO | infermed.app | {"event": "maybe_load_context.begin", "pair": ["warfarin", "fluconazole"], "use_cache": true}
2025-11-10 23:59:22 | INFO | infermed.app | {"event": "maybe_load_context.begin", "pair": ["warfarin", "fluconazole"], "use_cache": true}
2025-11-11 00:06:33 | INFO | infermed.app | {"event": "maybe_load_context.get_context_cached", "pair": ["warfarin", "fluconazole"], "cached": true}
